Transaction Month,SUM of Total Spent,SUM of Quantity,AVERAGE of Total Spent
April,"$4,860","1,610",$9
August,"$5,107","1,697",$9
December,"$5,026","1,650",$9
February,"$4,755","1,561",$9
January,"$5,291","1,729",$9
July,"$4,894","1,635",$9
June,"$5,276","1,729",$9
March,"$5,274","1,762",$9
May,"$4,553","1,519",$9
November,"$5,171","1,719",$9
October,"$5,204","1,776",$9
September,"$5,075","1,720",$9
,,,
,,,
,,,
Item,SUM of Total Spent,SUM of Quantity,
Cake,"$7,376","2,435",
Coffee,"$4,720","2,278",
Cookie,"$2,487","2,250",
Juice,"$7,731","2,538",
Salad,"$15,964","3,732",
Sandwich,"$9,204","2,301",
Smoothie,"$9,432","2,358",
Tea,"$3,570","2,215",
,,,
,,,
,,,
Payment Method,SUM of Total Spent,,
Cash,"$23,649",,
Credit Card,"$18,230",,
Digital Wallet,"$18,605",,
,,,
,,,
Location,SUM of Total Spent,,
In-store,"$42,522",,
Takeaway,"$17,962",,
,,,
,,,
SUM of Total Spent,Location,,
Item,In-store,Takeaway,
Cake,"$5,146","$2,230",
Coffee,"$3,204","$1,516",
Cookie,"$1,680",$807,
Juice,"$5,550","$2,181",
Salad,"$11,290","$4,674",
Sandwich,"$6,288","$2,916",
Smoothie,"$6,840","$2,592",
Tea,"$2,524","$1,046",
,,,
,,,
SUM of Total Spent,Location,,
Transaction Month,In-store,Takeaway,
April,"$3,206","$1,654",
August,"$3,653","$1,455",
December,"$3,558","$1,468",
February,"$3,395","$1,360",
January,"$3,665","$1,626",
July,"$3,379","$1,515",
June,"$3,684","$1,592",
March,"$3,755","$1,520",
May,"$3,326","$1,227",
November,"$3,570","$1,601",
October,"$3,847","$1,358",
September,"$3,487","$1,588",
,,,
,,,
SUM of Total Spent,Payment Method,,
Transaction Month,Cash,Credit Card,Digital Wallet
April,"$1,854","$1,428","$1,579"
August,"$2,015","$1,744","$1,349"
December,"$1,876","$1,601","$1,550"
February,"$1,788","$1,471","$1,497"
January,"$2,088","$1,720","$1,484"
July,"$1,949","$1,419","$1,527"
June,"$2,130","$1,548","$1,599"
March,"$2,197","$1,614","$1,464"
May,"$1,761","$1,363","$1,429"
November,"$1,912","$1,458","$1,802"
October,"$2,026","$1,407","$1,771"
September,"$2,057","$1,461","$1,558"
,,,
,,,
SUM of Total Spent,Payment Method,,
Location,Cash,Credit Card,Digital Wallet
In-store,"$16,897","$12,833","$12,793"
Takeaway,"$6,753","$5,398","$5,812"
,,,
SUM of Total Spent,Payment Method,,
Item,Cash,Credit Card,Digital Wallet
Cake,"$3,004","$2,150","$2,222"
Coffee,"$1,816","$1,364","$1,540"
Cookie,$975,705,$807
Juice,"$2,977","2,323","$2,431"
Salad,"$6,324","4,956","$4,684"
Sandwich,"$3,484","2,796","$2,924"
Smoothie,"$3,672","2,876","$2,884"
Tea,"$1,397","1,060","$1,113"
