SUM of Total Spent,Payment Method,,
Transaction Month,Cash,Credit Card,Digital Wallet
April,"$1,854","$1,428","$1,579"
August,"$2,015","$1,744","$1,349"
December,"$1,876","$1,601","$1,550"
February,"$1,788","$1,471","$1,497"
January,"$2,088","$1,720","$1,484"
July,"$1,949","$1,419","$1,527"
June,"$2,130","$1,548","$1,599"
March,"$2,197","$1,614","$1,464"
May,"$1,761","$1,363","$1,429"
November,"$1,912","$1,458","$1,802"
October,"$2,026","$1,407","$1,771"
September,"$2,057","$1,461","$1,558"
